student_id,name,department,marks,ispassed
1,ashish,cse,72.25,True
2,rahul,ece,81.5,True
3,priya,it,68.75,True
4,rohit,me,42.0,False
5,neha,cse,91.25,True
6,aman,civil,55.5,True
7,simran,ece,37.25,False
8,karan,it,76.0,True
9,divya,cse,88.5,True
10,mohit,me,49.75,False
11,anjali,civil,63.25,True
12,vikas,cse,34.5,False
13,pooja,it,79.75,True
14,sahil,ece,67.0,True
15,komal,civil,52.25,True
16,arjun,me,29.5,False
17,ravi,cse,95.0,True
18,tanya,it,73.5,True
19,deepak,ece,44.25,False
20,shreya,cse,86.75,True
